DTE,MARKETINGCHANNELGROUP,USER_ID,FIRST_PRCHS_DATE,GENRE_CAT_FINAL,ARTISTCATEGORY,TICKETSSOLDFP,GMSFP,GCFS,M12TICKETSSOLD,M12GMS
7,SEO,"20,250,265",01/09/2016 00:00:00,Theater,3.100-200,2,99,1,"77,293","8,102,793"
21,Unknown,"805,465",01/31/2016 00:00:00,Theater,4.200-600,2,204,1,"299,765","32,588,484"
2,SEO,"805,465",01/09/2016 00:00:00,Theater,4.200-600,3,569,1,"297,927","32,177,969"
23,Unknown,"805,465",01/07/2016 00:00:00,Theater,6.>1000,4,253,1,"298,192","32,229,363"
2,Unknown,"340,711",01/14/2016 00:00:00,Theater,5.600-1000,2,106,1,"70,991","5,946,842"
44,SEO,"340,711",01/29/2016 00:00:00,Theater,6.>1000,3,306,1,"69,394","5,882,632"
43,Paid Search,"1,040,910",01/17/2016 00:00:00,Theater,3.100-200,4,"1,110",1,"4,436","1,397,708"
11,Unknown,"576,930",01/19/2016 00:00:00,Theater,5.600-1000,2,204,1,"118,807","20,807,858"
29,Paid Search,"915,208",01/16/2016 00:00:00,Theater,1.TOP 50,2,871,1,"49,182","5,683,160"
3,Unknown,"1,030,682",01/07/2016 00:00:00,Theater,6.>1000,2,424,1,"1,769","351,611"
164,Paid Search,"5,767,512",01/26/2016 00:00:00,Theater,1.TOP 50,2,515,1,"6,393","1,523,951"
87,SEO,"357,984",01/12/2016 00:00:00,Theater,3.100-200,2,260,1,"407,333","58,221,799"
95,Unknown,"357,984",01/13/2016 00:00:00,Theater,5.600-1000,2,260,1,"408,044","58,352,728"
30,Unknown,"357,984",01/29/2016 00:00:00,Theater,6.>1000,2,377,1,"418,118","60,237,202"
42,SEO,"357,984",01/04/2016 00:00:00,Theater,3.100-200,2,173,1,"405,264","57,960,552"
59,Paid Search,"9,337,382",01/25/2016 00:00:00,Theater,1.TOP 50,7,"5,235",1,"76,503","32,386,047"
5,Unknown,"9,337,382",01/04/2016 00:00:00,Theater,6.>1000,2,120,1,"79,938","33,688,314"
29,Unknown,"9,337,382",01/16/2016 00:00:00,Theater,1.TOP 50,11,"17,055",1,"77,946","32,915,928"
26,Paid Search,"3,519,523",01/19/2016 00:00:00,Theater,4.200-600,4,230,1,"17,844","3,650,997"
4,SEO,"15,876,716",01/27/2016 00:00:00,Theater,4.200-600,2,307,1,"22,374","3,179,933"
1,Unknown,"13,977,340",01/10/2016 00:00:00,Theater,5.600-1000,6,376,1,"217,287","39,362,650"
6,SEO,"6,882,322",01/10/2016 00:00:00,Theater,2.50-100,4,280,1,"9,140","1,307,039"
2,Paid Search,"6,882,322",01/14/2016 00:00:00,Theater,2.50-100,10,648,1,"9,100","1,301,306"
154,Unknown,"950,449",01/22/2016 00:00:00,Theater,2.50-100,10,"3,475",1,"145,944","12,337,603"
1,Unknown,"2,728,814",01/31/2016 00:00:00,Theater,4.200-600,2,248,1,"28,231","10,690,565"
9,Unknown,"2,728,814",01/19/2016 00:00:00,Theater,1.TOP 50,2,"1,343",1,"27,964","10,628,613"
16,SEO,"1,902,248",01/15/2016 00:00:00,Theater,4.200-600,5,330,1,965,"160,629"
9,Unknown,"973,037",01/29/2016 00:00:00,Theater,4.200-600,2,225,1,"15,945","1,525,543"
22,Paid Search,"12,684,418",01/23/2016 00:00:00,Theater,3.100-200,2,174,1,"5,877","476,514"
25,Unknown,"12,684,418",01/20/2016 00:00:00,Theater,3.100-200,2,221,1,"5,938","479,840"
60,Unknown,"7,700,938",01/23/2016 00:00:00,Theater,1.TOP 50,3,"1,192",1,"502,672","55,006,443"
45,Paid Search,"7,700,938",01/07/2016 00:00:00,Theater,1.TOP 50,2,"1,040",1,"504,146","55,246,943"
82,SEO,"7,700,938",01/22/2016 00:00:00,Theater,1.TOP 50,3,"1,823",1,"502,650","55,021,093"
7,SEO,"7,700,938",01/13/2016 00:00:00,Theater,1.TOP 50,2,911,1,"503,437","55,051,332"
69,Unknown,"30,061,475",01/30/2016 00:00:00,Theater,4.200-600,2,433,1,"45,967","3,244,098"
1,Paid Search,"30,061,475",01/06/2016 00:00:00,Theater,1.TOP 50,2,52,1,"46,324","3,242,348"
37,Unknown,"25,450,004",01/29/2016 00:00:00,Theater,3.100-200,2,190,1,"89,841","7,638,565"
9,SEO,"162,377",01/29/2016 00:00:00,Theater,6.>1000,2,111,1,"210,314","27,462,715"
33,Paid Search,"162,377",01/12/2016 00:00:00,Theater,3.100-200,2,278,1,"215,649","27,543,429"
9,Unknown,"162,377",01/22/2016 00:00:00,Theater,4.200-600,2,159,1,"213,002","27,482,015"
6,SEO,"162,377",01/19/2016 00:00:00,Theater,1.TOP 50,2,139,1,"213,904","27,601,577"
25,Unknown,"32,874,568",01/14/2016 00:00:00,Theater,4.200-600,3,428,1,"34,438","9,105,948"
1,SEO,"32,874,568",01/26/2016 00:00:00,Theater,3.100-200,1,88,1,"34,924","9,170,446"
15,Unknown,"32,874,568",01/23/2016 00:00:00,Theater,4.200-600,2,274,1,"34,808","9,156,770"
29,SEO,"32,874,568",01/10/2016 00:00:00,Theater,1.TOP 50,1,378,1,"34,282","9,072,137"
9,Unknown,"32,874,568",01/23/2016 00:00:00,Theater,4.200-600,6,854,1,"34,808","9,156,770"
7,SEO,"32,874,568",01/28/2016 00:00:00,Theater,3.100-200,2,390,1,"34,959","9,170,775"
32,Unknown,"3,346,100",01/13/2016 00:00:00,Theater,4.200-600,3,187,1,"9,481","2,266,367"
1,SEO,"8,865,843",01/27/2016 00:00:00,Theater,3.100-200,2,150,1,"47,724","3,817,585"
2,SEO,"8,865,843",01/26/2016 00:00:00,Theater,3.100-200,2,216,1,"47,705","3,816,740"
38,Unknown,"2,928,307",01/14/2016 00:00:00,Theater,4.200-600,3,147,1,"54,312","4,175,191"
2,Unknown,"2,928,307",01/01/2016 00:00:00,Theater,3.100-200,10,709,1,"54,950","4,225,732"
